Time,X,Y,Z
1184395.768,-0.107,-0.506,8.556
1184395.787,-0.078,-0.427,8.924
1184395.806,-0.049,-0.63,8.849
1184395.825,0.217,-0.714,9.803
1184395.844,0.321,-1.002,10.487
1184395.862,-0.134,-0.864,10.221
1184395.882,-0.968,-0.593,9.603
1184395.9,-1.53,-0.533,9.563
1184395.919,-1.665,-0.727,9.699
1184395.938,-0.655,-1.167,9.362
1184395.957,0.717,-0.848,8.398
1184395.976,1.274,-0.663,9.425
1184395.995,0.848,-0.378,9.243
1184396.014,-0.555,-0.021,10.136
1184396.033,-0.6,-0.19,10.374
1184396.052,-0.084,-0.662,9.509
1184396.071,-0.123,-0.626,10.116
1184396.09,-0.562,-0.699,9.927
1184396.109,-1.148,-0.595,10.289
1184396.128,-1.662,-0.577,10.582
1184396.147,-1.766,-0.619,10.547
1184396.166,-1.631,-0.675,10.942
1184396.185,-1.215,-0.497,10.674
1184396.204,-1.006,-0.35,9.906
1184396.223,-0.927,-0.175,10.197
1184396.241,-0.609,0.001,10.043
1184396.26,-0.208,0.097,10.163
1184396.279,0.061,0.178,9.906
1184396.298,0.338,0.158,9.21
1184396.317,0.478,0.212,9.34
1184396.336,0.924,0.182,9.915
1184396.355,1.783,0.087,9.595
1184396.374,2.168,0.064,8.864
1184396.393,1.349,0.112,8.035
1184396.412,0.586,0.093,8.096
1184396.431,0.097,-0.289,9.376
1184396.45,0.21,-0.488,9.585
1184396.469,0.005,-0.497,9.687
1184396.488,-0.553,-0.358,10.545
1184396.507,-1.355,-0.388,10.479
1184396.526,-2.366,-0.344,10.187
1184396.545,-2.908,-0.409,10.729
1184396.564,-2.6,-0.5,9.868
1184396.583,-1.732,-0.362,9.616
1184396.602,-1.202,-0.307,10.212
1184396.62,-0.968,-0.026,9.864
1184396.639,-0.739,0.108,9.838
1184396.658,-0.701,0.185,9.905
1184396.677,-0.553,-0.111,9.784
1184396.696,-0.038,-0.27,9.603
1184396.715,0.768,-0.561,9.402
1184396.734,1.014,-0.647,9.531
1184396.753,0.682,-0.673,9.851
1184396.772,0.108,-0.445,10.304
1184396.791,-0.338,-0.489,9.927
1184396.81,-0.868,-0.483,8.761
1184396.829,-1.099,-0.569,9.864
1184396.848,-0.421,-0.82,9.899
1184396.867,0.28,-0.854,9.139
1184396.886,-0.112,-0.647,9.825
1184396.905,-0.349,-0.617,10.286
1184396.924,-0.295,-0.662,10.382
1184396.943,-0.567,-0.473,10.043
1184396.962,-0.792,-0.445,9.915
1184396.98,-0.987,-0.457,9.151
1184396.999,-1.025,-0.677,9.237
1184397.018,-0.434,-0.863,9.384
1184397.037,-0.058,-0.886,9.874
1184397.056,0.267,-0.747,10.06
1184397.075,-0.221,-0.719,10.595
1184397.094,-1.051,-0.757,10.804
1184397.113,-1.583,-0.784,10.337
1184397.132,-1.416,-0.793,10.075
1184397.151,-0.705,-0.96,9.994
1184397.17,-0.219,-0.912,9.718
1184397.189,-0.202,-0.697,10.097
1184397.208,-0.618,-0.519,10.038
1184397.227,-0.707,-0.484,10.157
1184397.246,-0.411,-0.546,9.753
1184397.264,0.157,-0.634,9.74
1184397.284,0.501,-0.581,9.579
1184397.303,0.371,-0.457,9.982
1184397.322,0.028,-0.506,9.979
1184397.341,-0.495,-0.464,9.566
1184397.36,-0.691,-0.516,9.484
1184397.378,-0.277,-0.823,9.305
1184397.398,0.088,-0.972,9.253
1184397.416,0.18,-0.935,9.665
1184397.435,0.352,-0.87,9.957
1184397.454,0.012,-0.795,10.687
1184397.475,-0.568,-0.635,10.975
1184397.492,-0.872,-0.617,10.764
1184397.511,-0.882,-0.602,10.205
1184397.53,-0.789,-0.746,9.747
1184397.549,-0.142,-0.841,10.21
1184397.568,0.572,-0.77,9.228
1184397.587,0.801,-0.518,9.755
1184397.606,0.74,-0.461,9.6
1184397.625,0.379,-0.47,9.613
1184397.644,0.47,-0.624,9.413
1184397.663,0.077,-0.751,9.381
1184397.682,-0.319,-0.893,9.473
1184397.701,-0.809,-0.905,9.016
1184397.72,-1.047,-0.869,9.509
1184397.74,-1.085,-0.775,10.31
1184397.757,-0.908,-0.881,9.937
1184397.776,-1.343,-0.803,9.783
1184397.795,-1.89,-0.58,10.23
1184397.814,-1.525,-0.876,9.956
1184397.833,-0.794,-1.064,10.061
1184397.852,-0.527,-0.912,9.305
1184397.871,-0.362,-0.879,9.912
1184397.89,-0.141,-0.78,9.681
1184397.909,0.046,-0.624,10.004
1184397.928,0.195,-0.586,9.786
1184397.947,0.292,-0.396,10.327
1184397.966,0.552,-0.658,10.442
1184397.985,0.595,-0.796,9.494
1184398.004,0.568,-0.9,10.325
1184398.023,0.86,-1.15,9.29
1184398.043,0.596,-1.077,9.426
1184398.061,0.312,-1.377,9.219
1184398.079,0.119,-1.35,9.948
1184398.099,0.048,-1.469,10.066
1184398.117,-0.346,-1.422,10.322
1184398.136,-0.897,-1.588,10.211
1184398.155,-1.248,-1.617,9.622
1184398.174,-1.134,-1.891,9.98
1184398.193,-0.811,-1.989,9.399
1184398.212,-0.396,-1.917,9.803
1184398.231,-0.183,-1.921,9.787
1184398.25,-0.495,-1.677,9.686
1184398.269,-0.559,-1.775,10.016
1184398.288,-0.819,-1.621,9.651
1184398.307,-0.411,-1.666,9.956
1184398.326,-0.055,-1.66,9.293
1184398.345,0.048,-1.485,9.608
1184398.364,-0.021,-1.416,9.254
1184398.383,-0.267,-1.259,9.606
1184398.402,-0.023,-1.444,9.673
1184398.421,-0.48,-1.368,9.159
1184398.44,-0.197,-1.545,9.793
1184398.459,-0.057,-1.495,9.682
1184398.477,0.016,-1.501,10.655
1184398.496,-0.404,-1.453,10.35
1184398.516,-0.663,-1.282,10.652
1184398.534,-0.626,-1.478,10.484
1184398.553,-0.386,-1.428,10.316
1184398.572,0.192,-1.69,10.166
1184398.591,0.068,-1.538,10.016
1184398.61,0.213,-1.544,10.341
1184398.629,0.009,-1.6,9.832
1184398.648,-0.019,-1.557,10.742
1184398.667,0.06,-1.806,10.369
1184398.686,-0.219,-1.55,10.505
1184398.705,-0.466,-1.487,10.38
1184398.724,-0.672,-1.387,10.087
1184398.743,-0.71,-1.265,9.468
1184398.762,-0.921,-1.179,9.257
1184398.781,-0.804,-1.215,9.186
1184398.8,-0.573,-1.337,9.165
1184398.819,-0.376,-1.378,9.468
1184398.838,-0.561,-1.408,9.848
1184398.856,-1.002,-1.372,10.002
1184398.876,-1.083,-1.389,10.206
1184398.894,-1.107,-1.481,9.649
1184398.913,-0.663,-1.508,9.47
1184398.932,-0.227,-1.53,9.146
1184398.952,0.193,-1.335,9.286
1184398.97,0.261,-1.299,9.054
1184398.989,0.2,-1.13,9.722
1184399.008,0.021,-1.208,9.604
1184399.027,-0.495,-1.144,9.618
1184399.046,-0.588,-1.055,10.11
1184399.065,-0.611,-1.161,10.201
1184399.084,-0.549,-1.146,10.345
1184399.103,-0.758,-0.979,10.483
1184399.122,-0.588,-0.954,10.836
1184399.141,-0.301,-0.966,10.742
1184399.16,0.092,-0.916,10.887
1184399.179,0.338,-0.885,10.481
1184399.198,0.597,-0.87,10.076
1184399.216,0.907,-0.77,10.23
1184399.236,1.11,-0.655,9.717
1184399.254,1.319,-0.835,9.415
1184399.273,0.912,-0.699,9.713
1184399.292,1.02,-1.028,9.864
